Column1,FormNumber,Question,Cluster,Topic_Keywords,Topic_Headline
1630,992,"The instructor provided helpful prompts, instructions, or guidance for writing essays.",20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
24,1,The overall teaching effectiveness of this instructor is,21,"effectiveness, teaching, overall, instructor, preceptor",Topic: Effectiveness Teaching Overall
56,2, The overall teaching effectiveness of this instructor is,21,"effectiveness, teaching, overall, instructor, preceptor",Topic: Effectiveness Teaching Overall
198,6,The overall teaching effectiveness of this instructor is ,21,"effectiveness, teaching, overall, instructor, preceptor",Topic: Effectiveness Teaching Overall
589,24,The overall teaching effectiveness of the instructor is:,21,"effectiveness, teaching, overall, instructor, preceptor",Topic: Effectiveness Teaching Overall
1096,705,The overall teaching effectiveness of this preceptor is,21,"effectiveness, teaching, overall, instructor, preceptor",Topic: Effectiveness Teaching Overall
1226,712,The overall teaching effectiveness of LIC Directors is,21,"effectiveness, teaching, overall, instructor, preceptor",Topic: Effectiveness Teaching Overall
804,70,Student learning was fairly assessed.,22,"assessed, fairly, learned, taught, objectives",Topic: Assessed Fairly Learned
1335,718,What I learned was fairly assessed.,22,"assessed, fairly, learned, taught, objectives",Topic: Assessed Fairly Learned
1336,718,What I learned was reflective of the course objectives and materials taught.,22,"assessed, fairly, learned, taught, objectives",Topic: Assessed Fairly Learned
1437,722,What I learned was fairly assessed. ,22,"assessed, fairly, learned, taught, objectives",Topic: Assessed Fairly Learned
1438,722,What I learned was reflected in the course objectives and materials taught. ,22,"assessed, fairly, learned, taught, objectives",Topic: Assessed Fairly Learned
1482,724,What I learned was reflected in the course objectives and materials taught.,22,"assessed, fairly, learned, taught, objectives",Topic: Assessed Fairly Learned
13,1,The assignments for this course were relevant to the lectures or material presented,23,"lectures, organized, presented, understandable, instructor",Topic: Lectures Organized Presented
25,1,The quizzes and tests given for this course covered the lectures and material presented,23,"lectures, organized, presented, understandable, instructor",Topic: Lectures Organized Presented
140,5,Class time was organized and used effectively to facilitate learning.,23,"lectures, organized, presented, understandable, instructor",Topic: Lectures Organized Presented
239,8,The instructor presented the labs in an organized format.,23,"lectures, organized, presented, understandable, instructor",Topic: Lectures Organized Presented
387,14,Lectures and assignments stimulated my thinking about the subject.,23,"lectures, organized, presented, understandable, instructor",Topic: Lectures Organized Presented
443,17,The instructor's lectures and other verbal presentations were logically developed.,23,"lectures, organized, presented, understandable, instructor",Topic: Lectures Organized Presented
461,18,The instructor is well organized.,23,"lectures, organized, presented, understandable, instructor",Topic: Lectures Organized Presented
481,19,How many guest lectures were given in your class?,23,"lectures, organized, presented, understandable, instructor",Topic: Lectures Organized Presented
499,19,The lectures were clearly presented.,23,"lectures, organized, presented, understandable, instructor",Topic: Lectures Organized Presented
500,19,The lectures were well organized.,23,"lectures, organized, presented, understandable, instructor",Topic: Lectures Organized Presented
539,21,The course was well organized.,23,"lectures, organized, presented, understandable, instructor",Topic: Lectures Organized Presented
577,23,The quizzes/tests and/or assignments were related to the lectures and course material,23,"lectures, organized, presented, understandable, instructor",Topic: Lectures Organized Presented
645,35,The instructor organized the course to facilitate learning.,23,"lectures, organized, presented, understandable, instructor",Topic: Lectures Organized Presented
752,47,The instructor presented understandable lectures.,23,"lectures, organized, presented, understandable, instructor",Topic: Lectures Organized Presented
9,1,"If asked by a peer, I would recommend taking this course online",24,"recommend, students, fellow, instructor, course",Topic: Recommend Students Fellow
40,2, I will recommend this instructor to other students for the same course,24,"recommend, students, fellow, instructor, course",Topic: Recommend Students Fellow
41,2," If asked by a peer, I would recommend taking this course online",24,"recommend, students, fellow, instructor, course",Topic: Recommend Students Fellow
286,9,Would you recommend this instructor to other students? Why?,24,"recommend, students, fellow, instructor, course",Topic: Recommend Students Fellow
487,19,I would recommend this course to a fellow student.,24,"recommend, students, fellow, instructor, course",Topic: Recommend Students Fellow
488,19,I would recommend this instructor to a fellow student.,24,"recommend, students, fellow, instructor, course",Topic: Recommend Students Fellow
579,24,I would recommend this course to other students.,24,"recommend, students, fellow, instructor, course",Topic: Recommend Students Fellow
760,52,I will recommend this instructor to other students for the same course.,24,"recommend, students, fellow, instructor, course",Topic: Recommend Students Fellow
779,64,I would recommend this facilitator for future workshops.,24,"recommend, students, fellow, instructor, course",Topic: Recommend Students Fellow
780,64,I would recommend this workshop to another student.,24,"recommend, students, fellow, instructor, course",Topic: Recommend Students Fellow
968,521,I will recommend this instructor to other students for the same course,24,"recommend, students, fellow, instructor, course",Topic: Recommend Students Fellow
1006,523,I will recommend this study abroad experience to other students,24,"recommend, students, fellow, instructor, course",Topic: Recommend Students Fellow
846,108,The instructor provided constructive feedback.,25,"constructive, direction, feedback, provide, director",Topic: Constructive Direction Feedback
1222,712,"The LIC director, academic half-day director, and TJFFCOM staff provide direction and constructive feedback.",25,"constructive, direction, feedback, provide, director",Topic: Constructive Direction Feedback
1231,713,Clerkship directors provide direction and constructive feedback.,25,"constructive, direction, feedback, provide, director",Topic: Constructive Direction Feedback
1241,713,Preceptors and residents provide direction and constructive feedback.,25,"constructive, direction, feedback, provide, director",Topic: Constructive Direction Feedback
1256,714,This faculty member provided direction and constructive feedback.,25,"constructive, direction, feedback, provide, director",Topic: Constructive Direction Feedback
1327,718,The course director(s) provide direction and constructive feedback.,25,"constructive, direction, feedback, provide, director",Topic: Constructive Direction Feedback
1527,728,Faculty provide direction and constructive feedback.,25,"constructive, direction, feedback, provide, director",Topic: Constructive Direction Feedback
1537,728,Preceptors provide direction and constructive feedback.,25,"constructive, direction, feedback, provide, director",Topic: Constructive Direction Feedback
5,1,I connected to this course MOST frequently from,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
6,1,I had the prerequisite skills to be successful in this course,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
7,1,I have taken an online course before,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
20,1,The instructor or the TA was accessible,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
22,1,The online course was easy to navigate,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
26,1,This course lived up to my expectations,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
27,1,This course material was well suited for online delivery,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
28,1,This course was taught by:,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
37,2, I connected to this course MOST frequently from,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
38,2, I have taken an online course before,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
54,2, The online course was easy to navigate,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
57,2, The procedures for providing feedback information were such that I knew how I was progressing in the course,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
58,2, This course material was well suited for online delivery,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
59,2, This course was taught by:,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
69,3, I have become more cometent in this area due to this course,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
70,3, I have learned a great deal in this course,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
88,3, The instructor was sensitive to student needs,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
89,3, The instructor's ability to explain was excellent,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
93,3, The overall quality of this course was exceptionally high,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
104,3," When registering for this course, my opinion about the course was positive",26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
105,3," When registering for this course, my opinion about the instructor was positive",26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
118,4, Texts and material in this course were useful,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
119,4," The content of this course supported the School's mission of advancing social, political,and economic justice",26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
132,4, This course was academically challenging,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
134,4, This course will contribute to my development as a social work professional,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
145,5,My overall grade point average is:,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
151,5,The instructor actively helped students plan and manage their workload in this course.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
157,5,"The instructor exposed me to diverse research methods (studio, lecture course, or seminar) that allowed me to understand issues from different perspectives.",26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
171,5,The projects and assignments in this course were interesting and stimulating.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
172,5,"The tests, projects and papers required in this course are a good measure of my performance and knowledge of the course material.",26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
177,5,What suggestions would you make to improve your educational experience in relation to the university community and the College of Architecture?,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
178,5,"What suggestions would you make to improve your educational experience in this studio, lecture course, or seminar?",26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
179,6,I have become more competent in this area due to this course.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
180,6,I have learned a great deal in this course.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
194,6,The instructor was sensitive to student needs.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
195,6,The instructor's ability to explain was excellent.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
197,6,The overall quality of this course was exceptionally high.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
201,6,This course was...,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
204,6,"When registering for this course, my opinion about the course was positive.",26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
205,6,"When registering for this course, my opinion about the instructor was positive.",26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
210,7,I am interested in the course subject.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
214,7,The facilities adequately met course needs.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
226,8,"Given a choice, I would take another course from this instructor.",26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
228,8,I was provided with the proper working equipment and utensils.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
229,8,Is this a course an elective?,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
233,8,"Please include your comments about the class discussions, readings, papers or projects, examinations or teaching style",26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
238,8,The instructor outlined objective for each class.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
244,8,The instructor was interested in student’s progress.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
252,8,The pace of this course was comfortable.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
253,8,"The teacher effectively used interactive teaching methods (discussions, games and simulations, per-teaching, field trips, student presentations, etc.)  to involve the class.",26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
257,8,This course contributed to my professional development.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
263,9,How could the instructor improve the course?,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
269,9,Reason I enrolled in this course:,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
270,9,"Tests, examinations, projects, papers, or creative activities reflected materials emphasized in the course.",26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
292,10,"The content of this course supported the School`s mission of advancing social, political and economic justice. <br>(For <b>DOCTORAL STUDENTS</b>: This course helped me better understand how my future work (career goals) may advance social, political and/o",26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
301,10,This course was academically challenging.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
302,10,This course was:,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
303,10,"This course will contribute to my development as a social work professional.<br> (For <b>DOCTORAL STUDENTS</b>: This course content will contribute to my development as a doctoral professional (e.g., researcher, faculty member, agency administrator).",26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
308,10,What do you suggest to improve this course?,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
312,11,Foundation module content addressed issues of diversity.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
315,11,The content of this foundation module supported the College's mission of advancing social and economic justice.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
321,11,The overall quality of this foundation module is,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
323,11,This foundation module was academically challenging.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
324,11,This foundation module will contribute to my development as a social work professional.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
329,11,What do you suggest to improve this content module?,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
331,12,Contribution to my professional growth and development,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
332,12,Course Delivery,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
336,12,I had a desire to take this course,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
337,12,Instructional effectiveness,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
338,12,Instructor organization,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
341,12,Level to which this course met my learning expectations,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
344,12,Quality of text books,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
347,12,The instructor remained in the room while I filled out this evaluation.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
350,12,This course meets my requirements for:,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
353,12,What have you liked least about the course?,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
354,12,What have you liked most about the course?,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
357,13,Coordination of assigned readings to lecture material,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
370,13,Quality of class discussions,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
377,13,What have you liked least about this course and why?,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
378,13,What have you liked most about this course and why?,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
381,14,Exam results usually were returned to students within:,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
385,14,I was evaluated on the basis of (mark all that apply):,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
386,14,I would rate the difficulty level of this course as:,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
389,14,My class level is:,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
394,14,The instructor remained in the room while you filled out this evaluation.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
395,14,The instructor was concerned about whether students understood the material.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
396,14,The instructor was enthusiastic about the course material.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
405,14,This course included:,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
415,15,The instructor circulated among the students.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
417,15,The instructor spoke in clearly understandable English.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
430,16,This Course is...,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
438,17,"The instructor circulated among the students, calling attention to incorrect practices.",26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
440,17,The instructor was accessible and provided sufficient aid and/or clarification when needed.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
457,18,"If this course had a significant experimental component, what was your impression of the computing equipment and software provided to support the course?",26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
458,18,The instructor demonstrated the ability to communicate with students in the classroom.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
459,18,The instructor employed information technology effectively to disseminate and enrich the course material.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
463,18,The instructor showed interest and enthusiasm for the course.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
464,18,The instructor was punctual for the class.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
467,18,The reason you enrolled in this course was?,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
470,18,"Was the textbook (and/or course material, as applicable) well written and supportive of objectives of the course?",26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
471,18,Was this course interesting and exciting?,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
483,19,I am more interested in the subject now than when I started the course.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
492,19,The course was harder than I thought it would be when I entered the course.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
506,19,What was the best part(s) of the course? (e.g.  that you enjoyed the most or got the most out of),26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
515,20,The instructor met the class regularly.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
548,22,I could understand the instructor.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
549,22,"I learned fundamental principles, and how to apply those principles.",26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
550,22,I was interested in taking this course.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
551,22,I would like to take another physics course.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
552,22,"If I take another course in physics, I would want to take it from this instructor.",26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
560,22,The instructor changed approaches to meet new situations.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
567,22,There was relatively little cheating on the examinations.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
569,22,This form allowed me to effectively evaluate both the instructor and the course.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
581,24,"Relative to other Law courses, I have learned substantially more in this course.",26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
592,24,This course will make me a better lawyer.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
637,35,My professional growth was enhanced by this course.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
648,35,The instructor's overall performance in this course was excellent.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
653,35,The total clinical experience was sufficient.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
654,35,There was adequate instructor support to facilitate skill acquisition.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
658,43,A professional student-teacher relationship is maintained during the lesson.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
666,43,I feel the instructor is preparing me well for my jury.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
667,43,I received helpful instruction on problems and was presented remedies.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
673,43,The instructor diagnoses technical problems and presents methods.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
678,43,"The instructor is knowledgeable about repertoire, style, and performance practice of various periods.",26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
682,43,The instructor provides sufficient examples by playing or singing when necessary.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
683,43,The instructor seems to care about my progress.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
686,43,The lesson content is appropriate to my stated professional goals.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
726,44,The quality of his/her musicianship is high.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
731,44,We covered a sufficiently large & representative repertoire in keeping with ability & experience of the members of the ensemble.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
744,46,Overall this was a value course,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
773,52,The procedures for providing feedback information were such that I knew how I was progressing in the course.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
827,105,What aspects of the course and/or instructor were the most helpful to you? ,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
828,105,"What suggestions, if any, would you make to improve this course?",26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
831,108,"Given a choice, I would take another class from this instructor.",26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
838,108,The instructor challenged me to do my best work in this class.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
839,108,The instructor communicated well with students.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
840,108,The instructor communicated why the content of this class was important.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
844,108,The instructor outlined the objective(s) for each class session.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
916,222,I read all the additional material posted on the course's LMS (Blackboard or Canvas).,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
927,222,The TA circulated among students calling attention to incorrect practices.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
928,222,The TA demonstrated respect to students.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
981,521,The procedures for providing feedback information were such that I knew how I was progressing in the course,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
1061,703, The amount and quality of clinical skills instruction were appropriate for the level of training.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
1150,709,[<b>Discipline</b>] Specific content was integrated into other areas of the Longitudinal Integrated Clerkship.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
1154,709,I participated in mid-clerkship feedback during this clerkship.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
1157,709,I was provided an opportunity for continuity of patient care (encountering or caring for the same patient more than once) during this clerkship.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
1162,709,The amount and quality of supervision was appropriate in this clerkship,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
1168,709,The residents provided effective teaching during this clerkship (Please choose N/A if you did not work with residents during this clerkship).,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
1214,712,Content was integrated across disciplines in Longitudinal Integrated Clerkship.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
1234,713,I participated in mid-clerkship feedback with the clerkship directors and/or the LIC director during this clerkship.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
1530,728,I participated in mid-course feedback with the LPC director during this course.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
1533,728,I was provided an opportunity for continuity of patient care (encountering or caring for the same patient more than once) during this course.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
1616,992,How could the instructor improve the discussion section?,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
1627,992,The instructor held class as scheduled and started promptly.,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
1637,992,What are the instructor’s strengths?,26,"course, instructor, online, improve, liked",Topic: Course Instructor Online
48,2, The instructor set forth course requirements clearly and relatively early in the semester,27,"clearly, presented, semester, expected, course",Topic: Clearly Presented Semester
143,5,I had a good sense of what is expected of me by the instructor in this class.,27,"clearly, presented, semester, expected, course",Topic: Clearly Presented Semester
213,7,The expected course outcomes were presented clearly during the course of the semester.,27,"clearly, presented, semester, expected, course",Topic: Clearly Presented Semester
216,7,The instructor presents material clearly and effectively.,27,"clearly, presented, semester, expected, course",Topic: Clearly Presented Semester
217,7,The material presented fit well with the course outcomes.,27,"clearly, presented, semester, expected, course",Topic: Clearly Presented Semester
333,12,Expected Course Grade,27,"clearly, presented, semester, expected, course",Topic: Clearly Presented Semester
490,19,"Over a semester, how many hours did you visit the Geoscience Learning Center?",27,"clearly, presented, semester, expected, course",Topic: Clearly Presented Semester
646,35,The instructor presented the content of the course clearly.,27,"clearly, presented, semester, expected, course",Topic: Clearly Presented Semester
764,52,The instructor set forth course requirements clearly and relatively early in the semester.,27,"clearly, presented, semester, expected, course",Topic: Clearly Presented Semester
810,70,The instructor presented the subject matter clearly.,27,"clearly, presented, semester, expected, course",Topic: Clearly Presented Semester
901,207,"Overall, the instructors/speakers presented the material clearly and effectively.",27,"clearly, presented, semester, expected, course",Topic: Clearly Presented Semester
972,521,The instructor set forth course requirements clearly and relatively early in the semester,27,"clearly, presented, semester, expected, course",Topic: Clearly Presented Semester
1010,523,The instructor set forth requirements for the study abroad experience clearly and relatively early in the semester,27,"clearly, presented, semester, expected, course",Topic: Clearly Presented Semester
14,1,The course material was delivered by: Choose all that apply,28,"apply, clinical, enabled, teaching, scenarios",Topic: Apply Clinical Enabled
44,2, The course material was delivered by: Choose all that apply,28,"apply, clinical, enabled, teaching, scenarios",Topic: Apply Clinical Enabled
1331,718,The teaching enabled me to apply the course content to clinical scenarios.,28,"apply, clinical, enabled, teaching, scenarios",Topic: Apply Clinical Enabled
1332,718,"The teaching included the integration of basic and clinical sciences, using clinically relevant examples.",28,"apply, clinical, enabled, teaching, scenarios",Topic: Apply Clinical Enabled
1436,722,"The teaching included the integration of basic and clinical sciences, using clinically relevant examples. ",28,"apply, clinical, enabled, teaching, scenarios",Topic: Apply Clinical Enabled
1477,724,The instruction enabled me to apply course content into household visits.,28,"apply, clinical, enabled, teaching, scenarios",Topic: Apply Clinical Enabled
1484,725, The instruction enabled me to apply course content into household visits.,28,"apply, clinical, enabled, teaching, scenarios",Topic: Apply Clinical Enabled
232,8,Number of classes missed,29,"number, classes, missed, times, estimate",Topic: Number Classes Missed
368,13,Number of classes missed:,29,"number, classes, missed, times, estimate",Topic: Number Classes Missed
391,14,The average number of hours per week that I spent studying for this class was:,29,"number, classes, missed, times, estimate",Topic: Number Classes Missed
399,14,The number of classes I missed was:,29,"number, classes, missed, times, estimate",Topic: Number Classes Missed
401,14,The number of times that the instructor was more than 10 minutes late to class was:,29,"number, classes, missed, times, estimate",Topic: Number Classes Missed
473,18,What is your estimate of the number of classes that were cancelled?,29,"number, classes, missed, times, estimate",Topic: Number Classes Missed
474,18,What is your estimate of the number of occurrences of academic dishonesty by the students in the class?,29,"number, classes, missed, times, estimate",Topic: Number Classes Missed
583,24,"The instructor cancelled, missed, or rescheduled the following number of classes:",29,"number, classes, missed, times, estimate",Topic: Number Classes Missed
921,222,"Over the semester, the number of times per week I visited the Physics Learning Center was:",29,"number, classes, missed, times, estimate",Topic: Number Classes Missed
1605,991,"Human Situation lectures helped me to connect choices, actions, and consequences to ethical decision-making.",30,"situation, human, lectures, helped, texts",Topic: Situation Human Lectures
1606,991,Human Situation lectures helped me to develop and express my own understanding and interpretation of the assigned texts.,30,"situation, human, lectures, helped, texts",Topic: Situation Human Lectures
1607,991,"Human Situation lectures helped me to develop my intercultural competence, knowledge of civic responsibility, and ability to engage effectively in regional, national, and global communities. ",30,"situation, human, lectures, helped, texts",Topic: Situation Human Lectures
1608,991,Human Situation lectures helped me to think critically and rigorously about the assigned texts.,30,"situation, human, lectures, helped, texts",Topic: Situation Human Lectures
1609,991,"Human Situation lectures were interesting, engaging, and worthwhile.",30,"situation, human, lectures, helped, texts",Topic: Situation Human Lectures
1614,991,What could be done to improve Human Situation lectures?,30,"situation, human, lectures, helped, texts",Topic: Situation Human Lectures
1615,991,What were the most important benefits of Human Situation lectures?,30,"situation, human, lectures, helped, texts",Topic: Situation Human Lectures
1223,712,"The LIC director, academic half-day director, and TJFFCOM staff respect diversity.",31,"diversity, tjffcom, director, staff, respect",Topic: Diversity Tjffcom Director
1224,712,"The LIC director, academic half-day director, and TJFFCOM staff show respectful interactions with students.",31,"diversity, tjffcom, director, staff, respect",Topic: Diversity Tjffcom Director
1229,713,Clerkship directors and TJFFCOM staff respect diversity.,31,"diversity, tjffcom, director, staff, respect",Topic: Diversity Tjffcom Director
1242,713,Preceptors and residents respect diversity.,31,"diversity, tjffcom, director, staff, respect",Topic: Diversity Tjffcom Director
1325,718,The course director(s) and TJFFCOM staff respect diversity.,31,"diversity, tjffcom, director, staff, respect",Topic: Diversity Tjffcom Director
1326,718,The course director(s) and TJFFCOM staff show respectful interactions with students.,31,"diversity, tjffcom, director, staff, respect",Topic: Diversity Tjffcom Director
1528,728,Faculty respect diversity.,31,"diversity, tjffcom, director, staff, respect",Topic: Diversity Tjffcom Director
1538,728,Preceptors respect diversity.,31,"diversity, tjffcom, director, staff, respect",Topic: Diversity Tjffcom Director
1622,992,The instructor demonstrated and encouraged respect for a diversity of viewpoints.,31,"diversity, tjffcom, director, staff, respect",Topic: Diversity Tjffcom Director
1252,714,Please list how this faculty member helped to facilitate your learning.,32,"member, faculty, helped, facilitate, list",Topic: Member Faculty Helped
1251,714,I observed this faculty member mistreating others.,33,"mistreating, observed, member, faculty, web",Topic: Mistreating Observed Member
8,1,I was able to download the course material when required,34,"required, hours, work, download, able",Topic: Required Hours Work
